,genes,gene_assoc_w_other_rxns?
CYO1b2_syn,frozenset({<Gene PBANKA_MIT01800.1-p1 at 0x7f77b3637470>}),no
CYO1b2pp_syn,frozenset({<Gene PBANKA_MIT01800.1-p1 at 0x7f77b3637470>}),no
CYO1b_syn,frozenset({<Gene PBANKA_MIT01800.1-p1 at 0x7f77b3637470>}),no
CYO1bpp_syn,frozenset({<Gene PBANKA_MIT01800.1-p1 at 0x7f77b3637470>}),no
CYOO2pp,frozenset({<Gene PBANKA_MIT01800.1-p1 at 0x7f77b3637470>}),no
CYSAT,frozenset({<Gene PBANKA_0302300.1-p1 at 0x7f77b3625c88>}),no
CYSabc2pp,frozenset({<Gene PBANKA_0903500.1-p1 at 0x7f77b3630048>}),no
CYTBD2pp,frozenset({<Gene PBANKA_1144100.1-p1 at 0x7f77b3630320>}),no
CYTBO3_4pp,frozenset({<Gene PBANKA_MIT01800.1-p1 at 0x7f77b3637470>}),no
CYTMQOR3pp,"frozenset({<Gene PBANKA_MIT01900.1-p1 at 0x7f77b3637390>, <Gene PBANKA_1303300.1-p1 at 0x7f77b36373c8>})",yes
CYTP450Rh,frozenset({<Gene PBANKA_0824100.1-p1 at 0x7f77b3630e48>}),no
DGDGD4DS1819Z1634Z7Z10Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGD4DS1829Z12Z1634Z7Z10Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGD4DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGD7DS1819Z1617Z,"frozenset({<Gene PBANKA_1110700.1-p1 at 0x7f77b3630b38>, <Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>})",yes
DGDGD7DS1829Z12Z1617Z,"frozenset({<Gene PBANKA_1110700.1-p1 at 0x7f77b3630b38>, <Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>})",yes
DGDGW3DS1819Z1637Z10Z13Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW3DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW3DS1839Z12Z15Z160,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW3DS1839Z12Z15Z1627Z10Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW3DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW3DS1839Z12Z15Z1637Z10Z13Z1,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW3DS1839Z12Z15Z1637Z10Z13Z2,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW6DS1819Z1627Z10Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW6DS1829Z12Z160,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW6DS1829Z12Z1617Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW6DS1829Z12Z1619Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW6DS1829Z12Z1627Z10Z1,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW6DS1829Z12Z1627Z10Z2,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW6DS1829Z12Z1634Z7Z10Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DGDGW6DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
DHORTSn,frozenset({<Gene PBANKA_1406700.1-p1 at 0x7f77b3625dd8>}),no
DNGALh,frozenset({<Gene PBANKA_0827500.1-p1 at 0x7f77b3630f60>}),no
DXRI,frozenset({<Gene PBANKA_1330600.1-p1 at 0x7f77b3625e80>}),no
DXS,frozenset({<Gene PBANKA_1351000.1-p1 at 0x7f77b363e518>}),no
EAR100x_1,frozenset({<Gene PBANKA_1229800.1-p1 at 0x7f77b3625fd0>}),no
EAR120x_1,frozenset({<Gene PBANKA_1229800.1-p1 at 0x7f77b3625fd0>}),no
EAR140x_1,frozenset({<Gene PBANKA_1229800.1-p1 at 0x7f77b3625fd0>}),no
EAR160x_1,frozenset({<Gene PBANKA_1229800.1-p1 at 0x7f77b3625fd0>}),no
EAR180x_1,frozenset({<Gene PBANKA_1229800.1-p1 at 0x7f77b3625fd0>}),no
EAR181x_1,frozenset({<Gene PBANKA_1229800.1-p1 at 0x7f77b3625fd0>}),no
EAR40x_1,frozenset({<Gene PBANKA_1229800.1-p1 at 0x7f77b3625fd0>}),no
EAR60x_1,frozenset({<Gene PBANKA_1229800.1-p1 at 0x7f77b3625fd0>}),no
EAR80x_1,frozenset({<Gene PBANKA_1229800.1-p1 at 0x7f77b3625fd0>}),no
ENOf,frozenset({<Gene PBANKA_1214300.1-p1 at 0x7f77b363e400>}),no
ETHSO3abcpp,frozenset({<Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>}),no
FACOAL100p,frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>}),no
FACOAL100t2pp,"frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>, <Gene PBANKA_1453300.1-p1 at 0x7f77b363e668>})",yes
FACOAL120p,frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>}),no
FACOAL120t2pp,"frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>, <Gene PBANKA_1453300.1-p1 at 0x7f77b363e668>})",yes
FACOAL140p,frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>}),no
FACOAL140t2pp,"frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>, <Gene PBANKA_1453300.1-p1 at 0x7f77b363e668>})",yes
FACOAL141p,frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>}),no
FACOAL141t2pp,"frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>, <Gene PBANKA_1453300.1-p1 at 0x7f77b363e668>})",yes
FACOAL160p,frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>}),no
FACOAL160t2pp,"frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>, <Gene PBANKA_1453300.1-p1 at 0x7f77b363e668>})",yes
FACOAL161p,frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>}),no
FACOAL161t2pp,"frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>, <Gene PBANKA_1453300.1-p1 at 0x7f77b363e668>})",yes
FACOAL180t2pp,"frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>, <Gene PBANKA_1453300.1-p1 at 0x7f77b363e668>})",yes
FACOAL181t2pp,"frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>, <Gene PBANKA_1453300.1-p1 at 0x7f77b363e668>})",yes
FACOAL60t2pp,"frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>, <Gene PBANKA_1453300.1-p1 at 0x7f77b363e668>})",yes
FACOAL80p,frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>}),no
FACOAL80t2pp,"frozenset({<Gene PBANKA_1239900.1-p1 at 0x7f77b36258d0>, <Gene PBANKA_1453300.1-p1 at 0x7f77b363e668>})",yes
FBA3hi,frozenset({<Gene PBANKA_1308600.1-p1 at 0x7f77b35cd748>}),no
FBAf,frozenset({<Gene PBANKA_1308600.1-p1 at 0x7f77b35cd748>}),no
FBAh,frozenset({<Gene PBANKA_1308600.1-p1 at 0x7f77b35cd748>}),no
FE2Gabcpp,frozenset({<Gene PBANKA_1432900.1-p1 at 0x7f77b3637320>}),no
FE3Gabcpp,frozenset({<Gene PBANKA_1432900.1-p1 at 0x7f77b3637320>}),no
FE3abch,frozenset({<Gene PBANKA_1237400.1-p1 at 0x7f77b35cd710>}),no
FEex,frozenset({<Gene PBANKA_0903500.1-p1 at 0x7f77b3630048>}),no
FEpp,frozenset({<Gene PBANKA_0903500.1-p1 at 0x7f77b3630048>}),no
FNORh,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
FORthi,frozenset({<Gene PBANKA_0414400.1-p1 at 0x7f77b36375f8>}),no
FORtxi,frozenset({<Gene PBANKA_0414400.1-p1 at 0x7f77b36375f8>}),no
FPGPL,frozenset({<Gene PBANKA_1308600.1-p1 at 0x7f77b35cd748>}),no
FPPSh,frozenset({<Gene PBANKA_0919800.1-p1 at 0x7f77b3646cf8>}),no
G3PAT160h,frozenset({<Gene PBANKA_1416700.1-p1 at 0x7f77b3646710>}),no
G3PAT180h,frozenset({<Gene PBANKA_1416700.1-p1 at 0x7f77b3646710>}),no
G3PAT1819Zh,frozenset({<Gene PBANKA_1416700.1-p1 at 0x7f77b3646710>}),no
G3PAT181h,frozenset({<Gene PBANKA_1416700.1-p1 at 0x7f77b3646710>}),no
G3PCabcpp,frozenset({<Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>}),no
G3PD1,"frozenset({<Gene PBANKA_0932900.1-p1 at 0x7f77b363e710>, <Gene PBANKA_0404800.1-p1 at 0x7f77b3637da0>})",yes
G3PD2_1,frozenset({<Gene PBANKA_1431900.1-p1 at 0x7f77b363e6d8>}),no
G3PEabcpp,frozenset({<Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>}),no
G3PGabcpp,frozenset({<Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>}),no
G3PIabcpp,frozenset({<Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>}),no
G3PO,frozenset({<Gene PBANKA_0404800.1-p1 at 0x7f77b3637da0>}),no
G3PSabcpp,frozenset({<Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>}),no
G6PIh,frozenset({<Gene PBANKA_1008800.1-p1 at 0x7f77b3637a20>}),no
GCPNn,"frozenset({<Gene PBANKA_1419800.1-p1 at 0x7f77b3646a20>, <Gene PBANKA_1419900.1-p1 at 0x7f77b36469e8>})",yes
GLCabcpp,frozenset({<Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>}),no
GLNTRAT,"frozenset({<Gene PBANKA_1127500.1-p1 at 0x7f77b3646588>, <Gene PBANKA_0718100.1-p1 at 0x7f77b36309e8>})",yes
GLNabcpp,"frozenset({<Gene PBANKA_1018100.1-p1 at 0x7f77b3630c50>, <Gene PBANKA_1443800.1-p1 at 0x7f77b3629860>})",yes
GLUKAh,frozenset({<Gene PBANKA_1122900.1-p1 at 0x7f77b3637a90>}),no
GLUKBh,frozenset({<Gene PBANKA_1122900.1-p1 at 0x7f77b3637a90>}),no
GLUS,frozenset({<Gene PBANKA_1009500.1-p1 at 0x7f77b3629278>}),no
GLUS_ferr,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
GLUS_nadph,frozenset({<Gene PBANKA_1009500.1-p1 at 0x7f77b3629278>}),no
GLYALDtpp,frozenset({<Gene PBANKA_0915600.1-p1 at 0x7f77b36290f0>}),no
GLYATx,frozenset({<Gene PBANKA_1027000.1-p1 at 0x7f77b363e2e8>}),no
GLYBabcpp,frozenset({<Gene PBANKA_1144100.1-p1 at 0x7f77b3630320>}),no
GLYC2Pabcpp,frozenset({<Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>}),no
GLYC3Pabcpp,frozenset({<Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>}),no
GLYCtpp,"frozenset({<Gene PBANKA_0915600.1-p1 at 0x7f77b36290f0>, <Gene spontaneous at 0x7f77b363e7f0>})",no
GM1LIPAabcpp,frozenset({<Gene PBANKA_0903500.1-p1 at 0x7f77b3630048>}),no
GM2LIPAabcpp,frozenset({<Gene PBANKA_0903500.1-p1 at 0x7f77b3630048>}),no
GTHRDabc2pp,frozenset({<Gene PBANKA_0903500.1-p1 at 0x7f77b3630048>}),no
GTHRDabcv,frozenset({<Gene PBANKA_1443800.1-p1 at 0x7f77b3629860>}),no
GTHS_1,frozenset({<Gene PBANKA_1111800.1-p1 at 0x7f77b3629320>}),no
GUACn,"frozenset({<Gene PBANKA_0910300.1-p1 at 0x7f77b3637c50>, <Gene PBANKA_1227600.1-p1 at 0x7f77b3637cf8>})",yes
HDS,frozenset({<Gene PBANKA_0507000.1-p1 at 0x7f77b35cd518>}),no
HEMELh,frozenset({<Gene PBANKA_1439500.1-p1 at 0x7f77b3637ba8>}),no
HYDAh,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
ICDHyp,frozenset({<Gene PBANKA_1358600.1-p1 at 0x7f77b3629550>}),no
IDPh,"frozenset({<Gene PBANKA_1320500.1-p1 at 0x7f77b3637358>, <Gene PBANKA_0414100.1-p1 at 0x7f77b3646860>})",yes
ILEabcpp,frozenset({<Gene PBANKA_1218800.1-p1 at 0x7f77b363e860>}),no
ISETACabcpp,frozenset({<Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>}),no
K2L4Aabcpp,"frozenset({<Gene PBANKA_0608300.1-p1 at 0x7f77b3629e10>, <Gene PBANKA_1364800.1-p1 at 0x7f77b3629f28>, <Gene PBANKA_1311700.1-p1 at 0x7f77b3629fd0>, <Gene PBANKA_1353300.1-p1 at 0x7f77b3629e48>, <Gene PBANKA_0903500.1-p1 at 0x7f77b3630048>, <Gene PBANKA_1237800.1-p1 at 0x7f77b3629dd8>})",yes
KAS14_1,frozenset({<Gene PBANKA_0308200.1-p1 at 0x7f77b3625a58>}),no
LEUabcpp,"frozenset({<Gene PBANKA_1443800.1-p1 at 0x7f77b3629860>, <Gene PBANKA_1218800.1-p1 at 0x7f77b363e860>})",yes
LIPACabcpp,"frozenset({<Gene PBANKA_0608300.1-p1 at 0x7f77b3629e10>, <Gene PBANKA_1364800.1-p1 at 0x7f77b3629f28>, <Gene PBANKA_1311700.1-p1 at 0x7f77b3629fd0>, <Gene PBANKA_1353300.1-p1 at 0x7f77b3629e48>, <Gene PBANKA_1237800.1-p1 at 0x7f77b3629dd8>})",yes
LIPAabcpp,"frozenset({<Gene PBANKA_0608300.1-p1 at 0x7f77b3629e10>, <Gene PBANKA_1364800.1-p1 at 0x7f77b3629f28>, <Gene PBANKA_1311700.1-p1 at 0x7f77b3629fd0>, <Gene PBANKA_1353300.1-p1 at 0x7f77b3629e48>, <Gene PBANKA_0903500.1-p1 at 0x7f77b3630048>, <Gene PBANKA_1237800.1-p1 at 0x7f77b3629dd8>})",yes
LUMIRHODOPSINI,frozenset({<Gene PBANKA_0910300.1-p1 at 0x7f77b3637c50>}),no
MCOATA_1,frozenset({<Gene PBANKA_1410500.1-p1 at 0x7f77b3637550>}),no
MCS,frozenset({<Gene PBANKA_0306400.1-p1 at 0x7f77b36377b8>}),no
METARHODOPSINH,frozenset({<Gene PBANKA_0910300.1-p1 at 0x7f77b3637c50>}),no
METDabcpp,"frozenset({<Gene PBANKA_1443800.1-p1 at 0x7f77b3629860>, <Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>})",yes
METHFth,"frozenset({<Gene PBANKA_0702100.1-p1 at 0x7f77b3637780>, <Gene PBANKA_0931500.1-p1 at 0x7f77b3637748>})",no
METabcpp,"frozenset({<Gene PBANKA_1443800.1-p1 at 0x7f77b3629860>, <Gene PBANKA_1010800.1-p1 at 0x7f77b3625d68>})",yes
MG2uabcpp,"frozenset({<Gene PBANKA_0207000.1-p1 at 0x7f77b3646630>, <Gene PBANKA_0610400.1-p1 at 0x7f77b36465c0>})",yes
MGDGD4DS1819Z1644Z7Z10Z13Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
MGDGD4DS1829Z12Z1634Z7Z10Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
MGDGD4DS1829Z12Z1644Z7Z10Z13Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
MGDGD4DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
MGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
MGDGD7DS1819Z1617Z,"frozenset({<Gene PBANKA_1110700.1-p1 at 0x7f77b3630b38>, <Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>})",yes
MGDGD7DS1829Z12Z1617Z,"frozenset({<Gene PBANKA_1110700.1-p1 at 0x7f77b3630b38>, <Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>})",yes
MGDGW3DS1819Z1637Z10Z13Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
MGDGW3DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
MGDGW3DS1829Z12Z1644Z7Z10Z13Z,frozenset({<Gene PBANKA_1416600.1-p1 at 0x7f77b36377f0>}),no
