,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
NTD12,,,not in model,not in model,nonlethal,,,,,,,,,
LMN2,,,not in model,not in model,not in model,,,,,,,,,
EX_2agpg140_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
DDGLK,,,not in model,not in model,not in model,,,,,,,,,
EX_for_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ACOADAGAT_DHA_EPA_DHA_c,,,not in model,not in model,not in model,,,,,,,,,
LPLIPAL2G120,,,not in model,nonlethal,nonlethal,,,,,,,,,
STARCH300Sc,,,not in model,not in model,not in model,,,,,,,,,
MCOATAm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
FA181COAabcpc,,,not in model,not in model,not in model,,,,,,,,,
r2507,,,not in model,nonlethal,not in model,,,,,,,,,
LPLIPAL1E120,,,not in model,nonlethal,nonlethal,,,,,,,,,
APRAUR,,,not in model,not in model,not in model,,,,,,,,,
IPPS,,,not in model,not in model,not in model,,,,,,,,,
S2FE2SS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_hislysthr_e,,,not in model,not in model,not in model,,,,,,,,,
ALANA1tm,,,not in model,not in model,not in model,,,,,,,,,
ARTFR213nhs,,,not in model,not in model,not in model,,,,,,,,,
3HAACOAT80,,,not in model,not in model,not in model,,,,,,,,,
MCOATA,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_pe1801845Z9Z12Z15Z_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
DH4MCHCDH,,,not in model,not in model,not in model,,,,,,,,,
AKO,,,nonlethal,nonlethal,not in model,,,,,,,,,
CYOO6m,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
KARA2,,,nonlethal,not in model,not in model,,,,,,,,,
MOTH1,,,not in model,not in model,not in model,,,,,,,,,
ARGt2r,,,not in model,nonlethal,nonlethal,,,,,,,,,
3OAS80_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
PHCYT_BS,,,not in model,not in model,nonlethal,,,,,,,,,
FACOAL120t2pp_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
MECDPDH,,,not in model,nonlethal,not in model,,,,,,,,,
KAS_HP2,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
TSULtm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PE140abcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MLTG5,,,not in model,not in model,not in model,,,,,,,,,
2agpe160t,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
AGPAT180_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
SULR_1,,,nonlethal,nonlethal,not in model,,,,,,,,,
N2OR,,,not in model,not in model,not in model,,,,,,,,,
FBP,,,not in model,not in model,not in model,,,,,,,,,
ALATA_L2,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GP4GH1,,,not in model,nonlethal,nonlethal,,,,,,,,,
HACD3,,,not in model,not in model,nonlethal,,,,,,,,,
TAGAH1601819Z180,,,not in model,not in model,not in model,,,,,,,,,
UDPGD,,,not in model,not in model,not in model,,,,,,,,,
GLXCBL,,,not in model,not in model,not in model,,,,,,,,,
EX_glcman6_e,,,not in model,not in model,not in model,,,,,,,,,
NITR_NOc,,,not in model,not in model,not in model,,,,,,,,,
KYN3OX,,,not in model,not in model,not in model,,,,,,,,,
PLPSA218111Z1819Z,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_pi_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
dgl_prod8,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
G12MT2gc,,,not in model,not in model,not in model,,,,,,,,,
PLDAGAT_HDE_MYRS_HDE_PC_4_c,,,not in model,not in model,not in model,,,,,,,,,
NAPRT,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PLIPA2G140,,,not in model,nonlethal,nonlethal,,,,,,,,,
G3PAT180,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_gdp_e,,,not in model,not in model,nonlethal,,,,,,,,,
PSERS_SC,,,not in model,not in model,not in model,,,,,,,,,
PPCKm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ALDD11,,,not in model,not in model,not in model,,,,,,,,,
ALDD20ym,,,not in model,not in model,not in model,,,,,,,,,
NADPPPS,,,not in model,not in model,not in model,,,,,,,,,
AGPATCOA1819Z1819Z,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
DOLDPP,,,nonlethal,not in model,not in model,,,,,,,,,
SUCD3_u6m,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_12ppd__S_e,,,not in model,not in model,not in model,,,,,,,,,
EX_lipa_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ETHAPT1801819Z,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ACOADAGAT18111Z1819Z1819Z,,,not in model,nonlethal,not in model,,,,,,,,,
NTRLASE,,,not in model,not in model,not in model,,,,,,,,,
FASC140ACP,,,nonlethal,not in model,not in model,,,,,,,,,
POR_syn,,,not in model,not in model,not in model,,,,,,,,,
PLIPA2A160,,,not in model,nonlethal,nonlethal,,,,,,,,,
MYCTR,,,not in model,not in model,not in model,,,,,,,,,
ALDD16,,,not in model,nonlethal,not in model,,,,,,,,,
CLPNS160,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
DGDGW3DS1839Z12Z15Z1634Z7Z10Zc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_malthp_e,,,not in model,not in model,not in model,,,,,,,,,
DAGAH_STC_ALNA_c,,,nonlethal,not in model,not in model,,,,,,,,,
ORNTArm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GGCHLDBRc,,,not in model,not in model,not in model,,,,,,,,,
EX_serphelys_e,,,not in model,not in model,not in model,,,,,,,,,
PE1801819Zt,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_ppcr_e,,,not in model,not in model,not in model,,,,,,,,,
CAt4,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_h2o_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_pe1801819Z_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
NADH10,,,nonlethal,not in model,not in model,,,,,,,,,
CHLSTI_1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
CDAPPA141,,,not in model,not in model,not in model,,,,,,,,,
TAGAH18111Z1819Z18111Z,,,not in model,not in model,not in model,,,,,,,,,
ETHAPT_HDE_LNA_c,,,not in model,not in model,not in model,,,,,,,,,
ERGSTGLCT,,,not in model,not in model,not in model,,,,,,,,,
DNMPPA,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_pail18111Z160_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
DAGAH_HDE_LNA_c,,,not in model,not in model,not in model,,,,,,,,,
GGTAe2,,,not in model,not in model,not in model,,,,,,,,,
MHGS,,,not in model,not in model,not in model,,,,,,,,,
AMPtr,,,not in model,nonlethal,not in model,,,,,,,,,
CYSLYSL,,,not in model,not in model,not in model,,,,,,,,,
G12MT4c,,,not in model,not in model,not in model,,,,,,,,,
GLNASNGLNt,,,not in model,not in model,not in model,,,,,,,,,
PPNCL3,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PTRCt2,,,not in model,not in model,not in model,,,,,,,,,
dgl_prod7,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
3OACOAS,,,not in model,not in model,not in model,,,,,,,,,
MGDGW6DS1829Z12Z1619Zc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PINA1tm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
dgl_prod6,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GLYAT,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
FBAm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_pg161_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
LPLIPAL2G180,,,not in model,nonlethal,nonlethal,,,,,,,,,
CDGS1,,,not in model,not in model,not in model,,,,,,,,,
2AGPGAT160,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
NTD3,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
URAt2,,,not in model,not in model,not in model,,,,,,,,,
PG181abcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
T4HCINNMFM,,,nonlethal,not in model,not in model,,,,,,,,,
HEX1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
THRS,,,not in model,not in model,not in model,,,,,,,,,
EX_dsbcrd_e,,,not in model,not in model,not in model,,,,,,,,,
PCMEH3ppc,,,not in model,not in model,not in model,,,,,,,,,
NH4ti,,,not in model,not in model,not in model,,,,,,,,,
ALDD18,,,not in model,not in model,not in model,,,,,,,,,
METMETILEr,,,nonlethal,not in model,not in model,,,,,,,,,
GMAND,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
HISt2m,,,not in model,not in model,not in model,,,,,,,,,
NTP11,,,not in model,not in model,not in model,,,,,,,,,
CPPPGO,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ARAB1D1,,,not in model,not in model,not in model,,,,,,,,,
PGD3TDS18111Z1613Ec,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ACOAR2m,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MNLDHr,,,nonlethal,not in model,not in model,,,,,,,,,
HMR_7758,,,not in model,not in model,not in model,,,,,,,,,
ACALDCD,,,not in model,not in model,not in model,,,,,,,,,
EX_ac_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
DES_15,,,not in model,not in model,not in model,,,,,,,,,
DGDGGH1819Z160c,,,not in model,not in model,not in model,,,,,,,,,
PGSA161,,,not in model,nonlethal,nonlethal,,,,,,,,,
CEPA,,,not in model,not in model,not in model,,,,,,,,,
OIVD3,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MALTPTabc,,,not in model,not in model,not in model,,,,,,,,,
FEROc,,,not in model,not in model,not in model,,,,,,,,,
HEMEOSm_1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
HMR_1637,,,not in model,not in model,not in model,,,,,,,,,
OPMEACPR,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
FEOXAMabcppc,,,not in model,not in model,not in model,,,,,,,,,
CMCMSAD,,,not in model,not in model,not in model,,,,,,,,,
KAS2,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
AGPATCOA16018111Z,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PDHam1mi,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PYK_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
4MBZDH,,,not in model,not in model,not in model,,,,,,,,,
IDPm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PLDAGAT_PALM_EPA_LNA_PC_5_c,,,not in model,not in model,not in model,,,,,,,,,
HBZOPTm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PUNP8,,,not in model,not in model,not in model,,,,,,,,,
CA2abc1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PPPGOm_pf,,,not in model,nonlethal,nonlethal,,,,,,,,,
ALDD20x,,,not in model,not in model,not in model,,,,,,,,,
DAGAH16018111Z,,,not in model,not in model,not in model,,,,,,,,,
DHPS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ADD,,,not in model,not in model,not in model,,,,,,,,,
SERGLNexR,,,not in model,nonlethal,nonlethal,,,,,,,,,
NO2t3,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
TYRTA,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PG120abcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
RNDR4,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
pe_prod11,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ALATRS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ALOX15,,,not in model,not in model,not in model,,,,,,,,,
LPLIPAL2A180,,,not in model,nonlethal,nonlethal,,,,,,,,,
GARFT,,,not in model,not in model,not in model,,,,,,,,,
SEPHCHCS,,,not in model,not in model,not in model,,,,,,,,,
D_LACDmc,,,not in model,not in model,not in model,,,,,,,,,
SALCHS4FEabcppc,,,not in model,not in model,not in model,,,,,,,,,
APTA1i,,,not in model,not in model,not in model,,,,,,,,,
LPLIPAL2ATE160,,,not in model,nonlethal,nonlethal,,,,,,,,,
EX_gal__L_e,,,not in model,not in model,not in model,,,,,,,,,
DHPPDA2,,,not in model,not in model,not in model,,,,,,,,,
CYSabc,,,not in model,nonlethal,nonlethal,,,,,,,,,
ILEt2r,,,not in model,not in model,not in model,,,,,,,,,
GLYCDy,,,not in model,not in model,not in model,,,,,,,,,
PGP120abcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ATPH1e,,,not in model,not in model,not in model,,,,,,,,,
PHETHRLYSr,,,not in model,not in model,not in model,,,,,,,,,
1AGPEAT1819Z1829Z12Z,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MSO3abc,,,not in model,nonlethal,not in model,,,,,,,,,
MCLORi,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PSERDm_SCc,,,not in model,not in model,not in model,,,,,,,,,
H2O2t,,,not in model,not in model,not in model,,,,,,,,,
r2526,,,not in model,not in model,not in model,,,,,,,,,
ARGARGt,,,nonlethal,not in model,not in model,,,,,,,,,
PCD12DS_PALM_LNA_sn2_c,,,not in model,nonlethal,not in model,,,,,,,,,
UA4E,,,not in model,not in model,not in model,,,,,,,,,
DINt,,,not in model,nonlethal,nonlethal,,,,,,,,,
KARI_23dhmbc,,,not in model,not in model,not in model,,,,,,,,,
2HH24DDH1,,,not in model,not in model,not in model,,,,,,,,,
PFK26_1,,,not in model,not in model,not in model,,,,,,,,,
ZCAROTDH2,,,not in model,not in model,not in model,,,,,,,,,
HMR_2380,,,not in model,nonlethal,not in model,,,,,,,,,
EX_murein4px4p4p_e,,,not in model,not in model,not in model,,,,,,,,,
P5CRm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
pi_prod2,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
LPLIPAL2G141,,,not in model,nonlethal,nonlethal,,,,,,,,,
CELLBabc,,,not in model,not in model,not in model,,,,,,,,,
EAR60x,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
DUTPDP,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PHEPHEt,,,nonlethal,not in model,not in model,,,,,,,,,
MOD_2mbdhlc,,,not in model,not in model,not in model,,,,,,,,,
CYSDS,,,nonlethal,not in model,not in model,,,,,,,,,
GCCc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PGSA140,,,not in model,nonlethal,nonlethal,,,,,,,,,
VALt2m,,,not in model,not in model,not in model,,,,,,,,,
SBTRhc,,,not in model,not in model,not in model,,,,,,,,,
3OAR100_m,,,not in model,not in model,not in model,,,,,,,,,
EX_glc__D_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ACOAD1z,,,not in model,not in model,not in model,,,,,,,,,
r0340,,,not in model,not in model,not in model,,,,,,,,,
PLIPA2A161,,,not in model,nonlethal,nonlethal,,,,,,,,,
FACOAL140,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
HMR_0907nhs,,,nonlethal,not in model,not in model,,,,,,,,,
METSR_R2,,,not in model,not in model,not in model,,,,,,,,,
PAPSPHENST,,,not in model,not in model,not in model,,,,,,,,,
CRVS23M24hc,,,not in model,nonlethal,not in model,,,,,,,,,
RPE_pf,,,not in model,nonlethal,nonlethal,,,,,,,,,
LALDO2x,,,not in model,not in model,not in model,,,,,,,,,
MDH2m,,,not in model,nonlethal,nonlethal,,,,,,,,,
FAS100ACPmc,,,not in model,not in model,not in model,,,,,,,,,
SELTORc,,,not in model,not in model,not in model,,,,,,,,,
HMSH,,,not in model,not in model,not in model,,,,,,,,,
CYTP450R,,,nonlethal,nonlethal,not in model,,,,,,,,,
PYR5CDmc,,,not in model,not in model,not in model,,,,,,,,,
2AGPEAT120,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_cdpdhdec9eg_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_ptrc_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
DGTSDS1839Z12Z15Z1819Z,,,not in model,not in model,not in model,,,,,,,,,
PPPGO,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
THFOR1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PHYTES2,,,not in model,not in model,not in model,,,,,,,,,
EX_g3pc_e,,,not in model,nonlethal,not in model,,,,,,,,,
D_LACDcmc,,,not in model,not in model,not in model,,,,,,,,,
PLDAGAT_LNA_EPA_LNA_PE_12_c,,,not in model,not in model,not in model,,,,,,,,,
DGTPtmc,,,not in model,not in model,not in model,,,,,,,,,
THMATPe,,,nonlethal,nonlethal,not in model,,,,,,,,,
SEAHCYSHYD_1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
TUNGSabcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
2DGULRx,,,not in model,not in model,not in model,,,,,,,,,
PSIIc,,,not in model,not in model,not in model,,,,,,,,,
PAPt,,,not in model,nonlethal,nonlethal,,,,,,,,,
EX_manglyc_e,,,not in model,not in model,not in model,,,,,,,,,
PGP140abcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_ps181_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
LPLIPAL2ATE141,,,not in model,nonlethal,nonlethal,,,,,,,,,
RE1342C,,,not in model,not in model,not in model,,,,,,,,,
EX_pa_enhs,,,not in model,not in model,not in model,,,,,,,,,
MEPCT_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
CHLSTD78I,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
HYDFDN2r,,,not in model,not in model,not in model,,,,,,,,,
DGTSDS1819Z1845Z9Z12Z15Z,,,not in model,not in model,not in model,,,,,,,,,
KAS4,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
AKGDa,,,not in model,not in model,not in model,,,,,,,,,
EX_4hba_e,,,not in model,not in model,not in model,,,,,,,,,
PSSA160,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_murein5p4p_e,,,not in model,not in model,not in model,,,,,,,,,
FPGS5,,,not in model,not in model,not in model,,,,,,,,,
MCPST,,,not in model,not in model,not in model,,,,,,,,,
ARGN_1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PLDPC_EPA_EPA_c,,,not in model,nonlethal,not in model,,,,,,,,,
PYDXOR,,,nonlethal,not in model,not in model,,,,,,,,,
NIabc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
UDPGLDC,,,not in model,not in model,not in model,,,,,,,,,
SPMDAT2,,,not in model,not in model,not in model,,,,,,,,,
EAR180x,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MAGAH1819Z,,,not in model,not in model,not in model,,,,,,,,,
CYTK2_1,,,not in model,not in model,not in model,,,,,,,,,
ETHAPT_STC_DHA_c,,,not in model,not in model,not in model,,,,,,,,,
GLUB0AT3tc,,,not in model,not in model,not in model,,,,,,,,,
dgl_prod4,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
HDCAt2,,,not in model,not in model,not in model,,,,,,,,,
PINOS_SC,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GTHS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ILEPROLYSr,,,not in model,not in model,not in model,,,,,,,,,
DOLPMT2,,,nonlethal,not in model,not in model,,,,,,,,,
TSULabc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ALCD19,,,nonlethal,not in model,not in model,,,,,,,,,
DLYSPYRAT,,,not in model,nonlethal,not in model,,,,,,,,,
KARI_3hmoac,,,not in model,not in model,not in model,,,,,,,,,
UDPACGLP,,,nonlethal,nonlethal,not in model,,,,,,,,,
AMMQT8,,,not in model,not in model,not in model,,,,,,,,,
GLNtm_1,,,not in model,not in model,not in model,,,,,,,,,
PTHPS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PRMICI,,,not in model,not in model,not in model,,,,,,,,,
PLIPA2G181,,,not in model,nonlethal,nonlethal,,,,,,,,,
FACOAL80t2pp_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
ADNK1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
O16A4COLIPAabctexc,,,nonlethal,not in model,nonlethal,,,,,,,,,
ASNt2r,,,not in model,nonlethal,nonlethal,,,,,,,,,
DHNCOAS,,,not in model,not in model,not in model,,,,,,,,,
ETHAPT_OLE_LNA_c,,,not in model,not in model,not in model,,,,,,,,,
ITCY,,,not in model,not in model,not in model,,,,,,,,,
BSORx,,,not in model,not in model,not in model,,,,,,,,,
MALS,,,nonlethal,not in model,not in model,,,,,,,,,
HMR_1077,,,not in model,nonlethal,not in model,,,,,,,,,
PETHCT,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
BATHORHODOPSINIc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
G13MT,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
SK_trnalys_c,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PRPPS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ACTNabc1,,,not in model,not in model,not in model,,,,,,,,,
SPP,,,not in model,not in model,not in model,,,,,,,,,
MGDGD7DS1819Z1617Zc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ALCD22yi,,,not in model,not in model,not in model,,,,,,,,,
SUCD1m,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
CO2t,,,nonlethal,not in model,not in model,,,,,,,,,
PGW3DS1839Z12Z15Z160c,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
C14STR,,,not in model,not in model,not in model,,,,,,,,,
SM_host,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ACOADAGAT18111Z1819Z160,,,not in model,nonlethal,not in model,,,,,,,,,
CDIPT18111Z160,,,not in model,not in model,not in model,,,,,,,,,
acoa_prod7,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PRAIS,,,not in model,not in model,not in model,,,,,,,,,
34DHOXPEGOX,,,not in model,not in model,not in model,,,,,,,,,
EX_glyc3p_e,,,not in model,nonlethal,not in model,,,,,,,,,
ARGARGr,,,nonlethal,not in model,not in model,,,,,,,,,
XYLTD_D,,,not in model,not in model,not in model,,,,,,,,,
42A12BOOX,,,not in model,not in model,not in model,,,,,,,,,
EX_ni2_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GLYCLTt2r,,,not in model,not in model,not in model,,,,,,,,,
CY_focytb5_c,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ERGSTESTH_SCe,,,not in model,not in model,not in model,,,,,,,,,
METSabc,,,not in model,not in model,not in model,,,,,,,,,
GTPCI,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_HC00005_e,,,not in model,not in model,not in model,,,,,,,,,
DAGK1601819Z,,,not in model,not in model,not in model,,,,,,,,,
EX_thr__L_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
SELCYSLY3,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
CITALDM,,,not in model,not in model,not in model,,,,,,,,,
NIt5,,,not in model,not in model,not in model,,,,,,,,,
3M2OPLOXRD,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
LEUTAi,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PS181abcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
lipid3,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
SQD2_182_9_12,,,not in model,not in model,not in model,,,,,,,,,
LYSARGLEUr,,,not in model,not in model,not in model,,,,,,,,,
DAGAH_OLE_OLE_c,,,not in model,not in model,not in model,,,,,,,,,
DHQS,,,not in model,nonlethal,nonlethal,,,,,,,,,
MK8t,,,not in model,not in model,not in model,,,,,,,,,
FASC120ACP,,,nonlethal,not in model,not in model,,,,,,,,,
LCADm,,,not in model,not in model,not in model,,,,,,,,,
EX_lido_e,,,not in model,not in model,not in model,,,,,,,,,
GM2LIPAabcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_murein5px3p_e,,,not in model,not in model,not in model,,,,,,,,,
TRESULT,,,not in model,not in model,not in model,,,,,,,,,
EX_ppc1o_e,,,not in model,not in model,not in model,,,,,,,,,
NODOy,,,not in model,not in model,not in model,,,,,,,,,
MTAADA,,,not in model,nonlethal,nonlethal,,,,,,,,,
HPPKm,,,not in model,not in model,not in model,,,,,,,,,
ARTFR205nhs,,,not in model,not in model,not in model,,,,,,,,,
PIt,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
KAS8,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
LEUTA,,,nonlethal,nonlethal,not in model,,,,,,,,,
